39041,27777
39048,39041
39049,39041
39050,39041
39051,39048
39052,39049
39053,39041
39054,39048
39055,39050
39056,39051
39057,39049
39058,39041
39059,39052
39060,39048
39061,39053
39062,39050
39063,39054
39064,39055
39065,39051
39066,39049
39067,39056
39069,39041
39068,39057
39072,39048
39070,39052
39071,39058
39077,39054
39073,39059
39078,39061
39081,39051
39074,39053
39075,39060
39076,39050
39088,39065
39079,39062
39080,39055
39083,39063
39082,39049
39094,39048
39085,39057
39086,39064
39097,39060
39093,39059
39099,39054
39092,39067
39107,39063
39114,39073
39132,39083
39084,39056
39127,39088
39089,39052
39090,39066
39110,39070
39105,39051
39103,39072
39125,39065
39102,39068
39118,39067
39108,39056
39157,39084
39123,39075
39119,39081
39113,39077
39153,39092
39087,39041
39095,39053
39091,39058
39100,39061
39111,39064
39117,39066
39120,39074
39135,39056
39136,39070
39142,39075
39133,39051
39146,39088
39149,39083
39140,39067
39128,39079
39147,39086
39129,39080
39109,39057
39112,39071
39154,39107
39131,39072
39116,39052
39152,39099
39150,39093
39121,39059
39101,39062
39155,39114
39124,39076
39126,39060
39098,39050
39134,39082
39122,39048
39143,39065
39144,39063
39115,39078
39096,39069
39145,39085
39151,39094
39141,39081
39148,39097
39158,39084
39138,39073
39163,39110
39106,39049
39165,39103
39104,39055
39162,39090
39139,39054
39159,39127
39130,39068
39160,39092
39164,39105
39137,39077
39156,39132
39166,39125
39171,39123
39170,39157
39167,39102
39161,39089
39174,39153
39168,39118
39169,39108
39173,39113
39172,39119
